0D0821	TNO1301
0D0B67	AMX193
0D0C44	VIV5002
4D211A	VJT915
71BE02	KAL214
71C005	KAL8237
71C011	KAL012
76CDBA	SIA37
7800EB	CSN440
780736	CSN328
780A1C	CPA087
780A3F	CPA3291
781093	CXA8889
7810A3	CXA830
7812A2	CHH763
7814B4	CSC3818
846333	NCA101
899021	CAL007
8990DA	EVA015
8990DC	EVA011
899106	CAL5138
A01012	N103CG
A028E5	GTI3707
A04B07	N118MJ
A085ED	GTI3732
A0C3B6	GTI3719
A0C7B3	GTI6908
A0E4B2	FDX992
A0EFDF	RTD16
A13C73	AAL1414
A154D3	N185SD
A154E6	SKW3465
A18CE8	GTI3715
A1AFDE	FDY808
A1B8C1	N21SH
A1C5F2	N213PF
A1CE16	SWA435
A1D3BF	USC102
A1E14A	ABX505
A1ED21	N223LA
A2005A	EDG28
A23877	ASH5851
A2734F	UPS2915
A28EE7	SWA1593
A2AF91	SKW3597
A2B2DA	ENY3461
A2B702	N274TA
A2BE6D	SKW3854
A2CB14	UAL2812
A2E4CE	HGT3314
A2F41D	N29LB
A2FE8F	SKW3522
A2FEB8	UPS2909
A327CC	SIS302
A32867	SKW3955
A336E3	AAL2631
A35283	FFT406
A35383	REH16
A355EB	N440A
A37AB5	AAY328
A3AD88	EJA336
A3ADC6	N336TD
A3B86C	DAL815
A3BAFF	AMF1954
A3D1B1	UPS2968
A40B80	REH13
A418E0	EJA363P
A42BD4	UPS2907
A44A6D	DAL1110
A46310	DAL954
A4661C	N3827Y
A47CD1	ATN3414
A48321	DAL793
A4A476	ATN7002
A4AE2C	N400RV
A4AEB0	O82
A4B267	O83
A4B9D5	O85
A4BC76	GTI7165
A4C143	O87
A4C4FA	O88
A4E8C2	O76
A4EC79	O77
A4F5A7	ATN9701
A4F79E	O49
A4FC9A	MAA6874
A50024	N421JF
A53409	B06
A53A95	NASA436
A54AAE	ASA1133
A59601	UAL1165
A5AD74	PHA65
A5C983	N472LA
A63388	SWA1601
A6910D	N522HB
A695EA	AAL74
A6F3AB	N547TW
A76535	FDX880
A79C00	N59KS
A7B07C	FDX486
A7CB78	FDX983
A7EABD	M20
A80E46	UPS56
A81B63	EJA621
A8324D	M05
A87CF9	QXE2409
A894D0	GTI1917
A8AA7E	N658AM
A8BCF0	N662PD
A936DC	N693LG
A97DA1	N710SD
A9A266	N72NG
A9A750	AAL9427
A9B65B	KII725
A9D2B5	KKII1914
A9D807	AAL2425
A9FDEB	CKS368
AA140F	ABX3110
AA218D	ABX3101
AA4932	CKS803
AA5457	CKS1920
AA67C6	N77ME
AA67E1	00000000
AAA32D	AVA288
AABBD2	ATN3217
AAE965	AMF1902
AB2372	AAL1702
AB313C	DAL1212
AB38AA	DAL1335
AB3A0C	UAL1511
AB3C61	DAL766
AB486E	N826PD
AB5031	N828SP
AB5FC9	AAL9449
AB6B21	N835CB
ABAED2	N852AM
ABAF9C	ARCAT068
ABB089	UAL1057
ABC6CE	N858TW
ACAA80	SIS915
ACBF63	AAL2437
ACD27A	N925TV
ACDF9A	AAL340
AD40D6	ASH5980
AD447E	N954LA
AD8C5B	N972PC
ADA64D	AAL2590
ADDBA5	N992SD
ADDF01	AAL2076
ADEA26	AAL2535
ADFBDF	TEST1234
ADFE92	PAT760A
AE093F	GRZLY39
AE0CE1	7923299
